compound,start_value,end_value,delta,normalize_delta
C00218,100,127,27,0.27
C00219,100,134,34,0.34
C00220,100,100,0,0.0
C00221,100,165,65,0.65
C00222,100,67,-33,0.33
C00223,100,0,-100,1.0
C00224,100,163,63,0.63
C00225,100,100,0,0.0
C00226,100,122,22,0.22
C00227,100,198,98,0.98
C00229,100,947,847,8.47
C00230,100,212,112,1.12
C00231,138,231,93,0.67391
C00232,100,245,145,1.45
C00233,100,0,-100,1.0
C00234,100,0,-100,1.0
C00235,100,0,-100,1.0
C17627,100,89,-11,0.11
C00236,100,0,-100,1.0
C00237,100,189,89,0.89
C00238,100,100,0,0.0
C00239,100,55,-45,0.45
C00240,100,99,-1,0.01
C00241,100,100,0,0.0
C00242,100,335,235,2.35
C00243,100,69,-31,0.31
C00244,100,0,-100,1.0
C00245,100,9,-91,0.91
C00246,100,229,129,1.29
C00247,100,91,-9,0.09
C00248,100,107,7,0.07
C00249,100,142,42,0.42
C00250,100,192,92,0.92
C00251,100,0,-100,1.0
C00252,100,143,43,0.43
C00253,100,99,-1,0.01
C00254,100,36,-64,0.64
C00255,100,150,50,0.5
C00256,100,99,-1,0.01
C00257,100,43,-57,0.57
C00258,100,194,94,0.94
C00259,100,105,5,0.05
C00262,100,364,264,2.64
C00263,100,39,-61,0.61
C00264,100,142,42,0.42
C00265,100,200,100,1.0
C00266,100,275,175,1.75
C00267,100,59,-41,0.41
C00268,100,10,-90,0.9
C00269,100,16,-84,0.84
C00270,100,1,-99,0.99
C00272,100,112,12,0.12
C00273,100,179,79,0.79
C00275,100,0,-100,1.0
C00279,980,1260,280,0.28571
C00280,100,248,148,1.48
C00282,100,0,-100,1.0
C00283,100,367,267,2.67
C00284,100,99,-1,0.01
C00286,100,0,-100,1.0
C00288,100,0,-100,1.0
C00290,100,100,0,0.0
C00291,100,100,0,0.0
C00292,100,176,76,0.76
C00294,100,57,-43,0.43
C00295,100,220,120,1.2
C00296,100,31,-69,0.69
C00297,100,100,0,0.0
C00298,100,100,0,0.0
C00299,100,1,-99,0.99
C00300,100,112,12,0.12
